Customer,Invoice Type,Issue Category,Description,Identified On,Identified By,Revenue Impact,Impact Category,Root Cause,Root Cause Owner,Customer Received,Impacted Customers,Containment Action,Corrective Action,Rebilled/Credited,Action Owner,Due Date,Status,Approved By,Remarks
Frontier,Clean & Screen,Over Charge,No description provided,15-05-24,System,0,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,Frontier,,,No,Santhosh,22-05-24,Open,Patrick,
Frontier,Fulfillment,Under Charge,No description provided,17-05-24,System,0,UnCategorized,Code issue - Invoice,Not_Assigned,No,Frontier,,,No,Santhosh,24-05-24,Open,Neha,
Breezeline,Fulfillment,Over Charge,No description provided,13-05-24,System,0,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,Breezeline,,,No,Santhosh,20-05-24,Open,Patrick,
Breezeline,Clean & Screen,Over Charge,No description provided,08-05-24,System,0,UnCategorized,Business Rules Issue - Sales,Not_Assigned,No,Breezeline,,,No,Santhosh,15-05-24,Closed,Neha,
Ziply,Fulfillment,Over Charge,No description provided,16-05-24,System,0,UnCategorized,Business Rules Issue - Sales,Not_Assigned,No,Ziply,,,No,Santhosh,23-05-24,Closed,Patrick,
Ziply,Fulfillment,Under Charge,No description provided,16-05-24,System,0,UnCategorized,Business Rules Issue - Sales,Not_Assigned,No,Ziply,,,No,Santhosh,23-05-24,Open,Patrick,
Mediacom,Clean & Screen,Over Charge,No description provided,09-05-24,System,0,UnCategorized,Business Rules Issue - Sales,Not_Assigned,No,Mediacom,,,No,Santhosh,16-05-24,Open,Patrick,
Ziply,Clean & Screen,UnCategorized,No description provided,15-05-24,System,0,UnCategorized,KPI Issue - Invoice,Not_Assigned,No,Ziply,,,No,Santhosh,22-05-24,Open,Neha,
Breezeline,Fulfillment,Over Charge,No description provided,22-05-24,System,0,UnCategorized,Business Rules Issue - Sales,Not_Assigned,No,Breezeline,,,No,Santhosh,29-05-24,Closed,Patrick,
Breezeline,Clean & Screen,Over Charge,No description provided,21-05-24,System,0,UnCategorized,Code issue - Invoice,Not_Assigned,No,Breezeline,,,No,Santhosh,28-05-24,Closed,Neha,
WOW,Clean & Screen,Over Charge,No description provided,21-05-24,System,0,UnCategorized,Code issue - Invoice,Not_Assigned,No,WOW,,,No,Santhosh,28-05-24,Open,Patrick,
Roku,OEM,Over Charge,No description provided,21-05-24,System,0,UnCategorized,Under Investigation,Not Assigned,No,Roku,,,No,Santhosh,28-05-24,Open,Patrick,
Breezeline,Clean & Screen,Under Charge,No description provided,21-05-24,System,0,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,Breezeline,,,No,Santhosh,28-05-24,Open,Patrick,
Breezeline,Fulfillment,Under Charge,No description provided,22-05-24,System,0,UnCategorized,Business Rules Issue - Sales,Not_Assigned,No,Breezeline,,,No,Santhosh,29-05-24,Closed,Neha,
