Customer,Invoice Type,Issue Category,Description,Identified On,Identified By,Revenue Impact,Impact Category,Root Cause,Root Cause Owner,Customer Received,Impacted Customers,Containment Action,Corrective Action,Rebilled/Credited,Action Owner,Due Date,Status,Approved By,Remarks
Breezeline,Fulfillment,Under Charge,No description provided,22-05-24,System,0,UnCategorized,Code issue - Invoice,Not_Assigned,No,Breezeline,,,No,Santhosh,29-05-24,Closed,Patrick,
Breezeline,Fulfillment,Under Charge,No description provided,30-05-24,System,0,UnCategorized,Code issue - Invoice,Not_Assigned,No,Breezeline,,,No,Santhosh,06-06-24,Open,Neha,
Breezeline,Fulfillment,Under Charge,No description provided,30-05-24,System,0,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,Breezeline,,,No,Santhosh,06-06-24,Open,Patrick,
LinkLabs,Fulfillment,UnCategorized,No description provided,30-05-24,System,0,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,LinkLabs,,,No,Santhosh,06-06-24,Open,Patrick,
Tivo,Fulfillment,Over Charge,No description provided,05-06-24,System,0,UnCategorized,Business Rules Issue - Sales,Not_Assigned,No,Tivo,,,No,Santhosh,12-06-24,Closed,Patrick,
Breezeline,Fulfillment,UnCategorized,No description provided,12-06-24,System,0,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,Breezeline,,,No,Santhosh,19-06-24,Closed,Neha,
WOW,Clean & Screen,Over Charge,No description provided,18-06-24,System,0,UnCategorized,Data Issue - Vulcan/CRS,Not_Assigned,No,WOW,,,No,Santhosh,25-06-24,Open,Patrick,
Frontier,Fulfillment,Over Charge,No description provided,09-07-24,System,0,UnCategorized,Business Rules Issue - Sales,Not_Assigned,No,Frontier,,,No,Santhosh,16-07-24,Open,Neha,
Astound,Fulfillment,Over Charge,No description provided,09-07-24,System,0,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,Astound,,,No,Santhosh,16-07-24,Open,Patrick,
Tivo,Fulfillment,Under Charge,No description provided,11-07-24,System,0,UnCategorized,KPI Issue - Invoice,Not_Assigned,No,Tivo,,,No,Santhosh,18-07-24,Closed,Patrick,
Ziply,Fulfillment,Over Charge,No description provided,24-07-24,System,0,UnCategorized,Code issue - Invoice,Not_Assigned,No,Ziply,,,No,Santhosh,31-07-24,Closed,Patrick,
Frontier,Clean & Screen,Under Charge,No description provided,26-07-24,System,0,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,Frontier,,,No,Santhosh,02-08-24,Open,Neha,
Frontier,Clean & Screen,Under Charge,No description provided,26-07-24,System,0,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,Frontier,,,No,Santhosh,02-08-24,Open,Patrick,
Frontier,Clean & Screen,Under Charge,No description provided,26-07-24,System,0,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,Frontier,,,No,Santhosh,02-08-24,Open,Neha,
Ziply,Clean & Screen,Under Charge,No description provided,30-07-24,System,0,UnCategorized,Business Rules Issue - Sales,Not_Assigned,No,Ziply,,,No,Santhosh,06-08-24,Closed,Patrick,
Ziply,Fulfillment,UnCategorized,No description provided,08-08-24,System,0,UnCategorized,Code issue - Invoice,Not_Assigned,No,Ziply,,,No,Santhosh,15-08-24,Closed,Patrick,
Breezeline,Clean & Screen,Under Charge,No description provided,07-08-24,System,0,UnCategorized,Business Rules Issue - Sales,Not_Assigned,No,Breezeline,,,No,Santhosh,14-08-24,Open,Patrick,
Roku,OEM,Under Charge,No description provided,07-08-24,System,0,UnCategorized,Under Investigation,Not Assigned,No,Roku,,,No,Santhosh,14-08-24,Open,Neha,
Tivo,Fulfillment,Under Charge,No description provided,08-08-24,System,0,UnCategorized,Business Rules Issue - Sales,Not_Assigned,No,Tivo,,,No,Santhosh,15-08-24,Open,Patrick,
Roku,OEM,UnCategorized,No description provided,24-10-25,System,0,UnCategorized,Under Investigation,Not Assigned,No,Roku,,,No,Santhosh,25-10-25,Closed,Neha,
Breezeline,Clean & Screen,Over Charge,No description provided,20-08-24,System,0,UnCategorized,Code issue - Invoice,Not_Assigned,No,Breezeline,,,No,Santhosh,27-08-24,Closed,Patrick,
Roku,Clean & Screen,Under Charge,No description provided,28-08-24,System,0,UnCategorized,Code issue - Invoice,Not_Assigned,No,Roku,,,No,Santhosh,04-09-24,Open,Patrick,
Midco,Fulfillment,Under Charge,No description provided,24-10-25,System,0,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,Midco,,,No,Santhosh,25-10-25,Open,Patrick,
Breezeline,Fulfillment,Under Charge,No description provided,12-09-24,System,0,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,Breezeline,,,No,Santhosh,19-09-24,Open,Neha,
Mediacom,Fulfillment,Under Charge,No description provided,12-09-24,System,0,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,Mediacom,,,No,Santhosh,19-09-24,Closed,Patrick,
Midco,Fulfillment,Under Charge,No description provided,12-09-24,System,0,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,Midco,,,No,Santhosh,19-09-24,Closed,Neha,
Breezeline,Clean & Screen,UnCategorized,No description provided,13-09-24,System,0,UnCategorized,Business Rules Issue - Sales,Not_Assigned,No,Breezeline,,,No,Santhosh,20-09-24,Open,Patrick,
Mediacom,Fulfillment,Under Charge,No description provided,16-09-24,System,0,UnCategorized,Code issue - Invoice,Not_Assigned,No,Mediacom,,,No,Santhosh,23-09-24,Open,Patrick,
Breezeline,UnCategorized,UnCategorized,No description provided,17-09-24,System,0,UnCategorized,Not Known,Not_Assigned,No,Breezeline,,,No,Santhosh,24-09-24,Open,Patrick,
Frontier,Clean & Screen,UnCategorized,No description provided,24-09-24,System,0,UnCategorized,Business Rules Issue - Sales,Not_Assigned,No,Frontier,,,No,Santhosh,01-10-24,Closed,Neha,
Tivo,Fulfillment,Under Charge,No description provided,18-09-24,System,0,UnCategorized,Business Rules Issue - Sales,Not_Assigned,No,Tivo,,,No,Santhosh,25-09-24,Closed,Patrick,
Mediacom,UnCategorized,UnCategorized,No description provided,19-09-24,System,0,UnCategorized,Not Known,Not_Assigned,No,Mediacom,,,No,Santhosh,26-09-24,Open,Neha,
Mediacom,Fulfillment,Under Charge,No description provided,02-10-24,System,0,UnCategorized,Business Rules Issue - Sales,Not_Assigned,No,Mediacom,,,No,Santhosh,09-10-24,Open,Patrick,
Astound,Fulfillment,Under Charge,No description provided,03-10-24,System,0,UnCategorized,Business Rules Issue - Sales,Not_Assigned,No,Astound,,,No,Santhosh,10-10-24,Open,Patrick,
Frontier,Fulfillment,Under Charge,No description provided,06-10-24,System,0,UnCategorized,Business Rules Issue - Sales,Not_Assigned,No,Frontier,,,No,Santhosh,13-10-24,Closed,Patrick,
Ziply,Clean & Screen,Under Charge,No description provided,15-10-24,System,0,UnCategorized,KPI Issue - Invoice,Not_Assigned,No,Ziply,,,No,Santhosh,22-10-24,Closed,Neha,
Frontier,UnCategorized,Under Charge,No description provided,08-10-24,System,0,UnCategorized,Business Rules Issue - Sales,Not_Assigned,No,Frontier,,,No,Santhosh,15-10-24,Open,Patrick,
WOW,Clean & Screen,Over Charge,No description provided,23-10-24,System,0,UnCategorized,Business Rules Issue - Sales,Not_Assigned,No,WOW,,,No,Santhosh,30-10-24,Open,Neha,
WOW,Clean & Screen,Under Charge,No description provided,23-10-24,System,0,UnCategorized,Logic Issue - Invoice,Not_Assigned,No,WOW,,,No,Santhosh,30-10-24,Open,Patrick,
Frontier,Fulfillment,Under Charge,No description provided,29-10-24,System,0,UnCategorized,Price Book Issue - Invoice,Not_Assigned,No,Frontier,,,No,Santhosh,05-11-24,Closed,Patrick,
WOW,Clean & Screen,Under Charge,No description provided,23-10-24,System,0,UnCategorized,Logic Issue - Invoice,Not_Assigned,No,WOW,,,No,Santhosh,30-10-24,Closed,Patrick,
WOW,Clean & Screen,Over Charge,No description provided,05-11-24,System,0,UnCategorized,Business Rules Issue - Sales,Not_Assigned,No,WOW,,,No,Santhosh,12-11-24,Open,Neha,
Frontier,Clean & Screen,Under Charge,No description provided,06-11-24,System,0,UnCategorized,WEB Server Issue,Not_Assigned,No,Frontier,,,No,Santhosh,13-11-24,Open,Patrick,
Mediacom,Clean & Screen,Under Charge,No description provided,07-11-24,System,0,UnCategorized,WEB Server Issue,Not_Assigned,No,Mediacom,,,No,Santhosh,14-11-24,Open,Neha,
Ziply,Clean & Screen,Under Charge,No description provided,08-11-24,System,0,UnCategorized,WEB Server Issue,Not_Assigned,No,Ziply,,,No,Santhosh,15-11-24,Closed,Patrick,
Mediacom,Fulfillment,Over Charge,No description provided,12-11-24,System,0,UnCategorized,Not Known,Not_Assigned,No,Mediacom,,,No,Santhosh,19-11-24,Closed,Patrick,
Breezeline,Fulfillment,UnCategorized,No description provided,13-11-24,System,0,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,Breezeline,,,No,Mangalagowri,20-11-24,Open,Patrick,
Tivo,Fulfillment,UnCategorized,No description provided,14-11-24,System,0,UnCategorized,Not Known,Not_Assigned,No,Tivo,,,No,Mangalagowri,21-11-24,Open,Neha,
Roku,Clean & Screen,Under Charge,No description provided,19-11-24,System,0,UnCategorized,Logic Issue - Invoice,Not_Assigned,No,Roku,,,No,Mangalagowri,26-11-24,Open,Patrick,
WOW,Clean & Screen,Under Charge,No description provided,19-11-24,System,0,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,WOW,,,No,Mangalagowri,26-11-24,Closed,Neha,
Astound,Fulfillment,UnCategorized,No description provided,18-11-24,System,0,UnCategorized,Code issue - Invoice,Not_Assigned,No,Astound,,,No,Mangalagowri,25-11-24,Closed,Patrick,
Frontier,Fulfillment,UnCategorized,No description provided,20-11-24,System,0,UnCategorized,Business Rules Issue - Sales,Not_Assigned,No,Frontier,,,No,Mangalagowri,27-11-24,Open,Patrick,
Frontier,Fulfillment,UnCategorized,No description provided,20-11-24,System,0,UnCategorized,Business Rules Issue - Sales,Not_Assigned,No,Frontier,,,No,Mangalagowri,27-11-24,Open,Patrick,
WOW,Clean & Screen,UnCategorized,No description provided,19-11-24,System,0,UnCategorized,Business Rules Issue - Sales,Not_Assigned,No,WOW,,,No,Mangalagowri,26-11-24,Open,Neha,
Roku,Fulfillment,UnCategorized,No description provided,22-11-24,System,0,UnCategorized,Business Rules Issue - Sales,Not_Assigned,No,,,,No,Mangalagowri,29-11-24,Closed,Patrick,
Roku,Clean & Screen,UnCategorized,No description provided,22-11-24,System,0,UnCategorized,Business Rules Issue - Sales,Not_Assigned,No,,,,No,Mangalagowri,29-11-24,Closed,Neha,
WOW,Fulfillment,Under Charge,No description provided,03-12-24,System,0,UnCategorized,Code issue - Invoice,Not_Assigned,No,WOW,,,No,Mangalagowri,10-12-24,Open,Patrick,
WOW,Clean & Screen,UnCategorized,No description provided,10-12-24,System,0,UnCategorized,Data Issue - Vulcan/CRS,Not_Assigned,No,WOW,,,No,Mangalagowri,17-12-24,Open,Patrick,
Breezeline,Clean & Screen,UnCategorized,No description provided,10-12-24,System,0,UnCategorized,Data Issue - Vulcan/CRS,Not_Assigned,No,Breezeline,,,No,Mangalagowri,17-12-24,Open,Patrick,
Roku,OEM,UnCategorized,No description provided,10-12-24,System,0,UnCategorized,Not Known,Not_Assigned,No,,,,No,Mangalagowri,17-12-24,Closed,Neha,
Roku,Clean & Screen,Under Charge,No description provided,07-01-25,System,0,UnCategorized,Logic Issue - Invoice,Not_Assigned,No,Roku,,,No,Mangalagowri,14-01-25,Closed,Patrick,
Ziply,Clean & Screen,Under Charge,No description provided,08-01-25,System,0,UnCategorized,KPI Issue - Invoice,Not_Assigned,No,Ziply,,,No,Mangalagowri,15-01-25,Open,Neha,
Mediacom,Fulfillment,Under Charge,No description provided,06-01-25,System,0,UnCategorized,Business Rules Issue - Sales,Not_Assigned,No,Mediacom,,,No,Mangalagowri,13-01-25,Open,Patrick,
Tivo,Fulfillment,Under Charge,No description provided,07-01-25,System,0,UnCategorized,Business Rules Issue - Sales,Not_Assigned,No,Tivo,,,No,Mangalagowri,14-01-25,Open,Patrick,
Frontier,Clean & Screen,Under Charge,No description provided,08-01-25,System,0,UnCategorized,KPI Issue - Invoice,Not_Assigned,No,Frontier,,,No,Mangalagowri,15-01-25,Closed,Patrick,
Breezeline,Fulfillment,Under Charge,No description provided,15-07-25,System,0,UnCategorized,Code issue - Invoice,Not_Assigned,No,Breezeline,,,No,Mangalagowri,22-07-25,Closed,Neha,
Astound,Fulfillment,UnCategorized,No description provided,26-06-25,System,0,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,Astound,,,No,Mangalagowri,03-07-25,Open,Patrick,
Mediacom,Fulfillment,UnCategorized,No description provided,26-06-25,System,0,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,Mediacom,,,No,Mangalagowri,03-07-25,Open,Neha,
Breezeline,Fulfillment,Under Charge,No description provided,08-07-25,System,0,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,Breezeline,,,No,Mangalagowri,15-07-25,Open,Patrick,
Breezeline,Clean & Screen,Under Charge,No description provided,15-07-25,System,0,UnCategorized,Price Book issue - Sales,Not_Assigned,No,Breezeline,,,No,Mangalagowri,22-07-25,Closed,Patrick,
Roku,Clean & Screen,Under Charge,No description provided,15-07-25,System,0,UnCategorized,Logic Issue - Invoice,Not_Assigned,No,Roku,,,No,Mangalagowri,22-07-25,Closed,Patrick,
Mediacom,Clean & Screen,Under Charge,No description provided,15-07-25,System,0,UnCategorized,Logic Issue - Invoice,Not_Assigned,No,Mediacom,,,No,Mangalagowri,22-07-25,Open,Neha,
Breezeline,Fulfillment,UnCategorized,No description provided,07-07-25,System,0,UnCategorized,Business Rules Issue - Sales,Not_Assigned,No,Breezeline,,,No,Mangalagowri,14-07-25,Open,Patrick,
Mediacom,Fulfillment,Under Charge,No description provided,23-07-25,System,0,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,Mediacom,,,No,Mangalagowri,30-07-25,Open,Neha,
Breezeline,Fulfillment,Under Charge,No description provided,23-07-25,System,0,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,Breezeline,,,No,Mangalagowri,30-07-25,Closed,Patrick,
Mediacom,Fulfillment,UnCategorized,No description provided,24-07-25,System,0,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,Mediacom,,,No,Mangalagowri,31-07-25,Closed,Patrick,
Roku,OEM,UnCategorized,No description provided,25-07-25,System,0,UnCategorized,Not Known,Not_Assigned,No,,,,No,Mangalagowri,01-08-25,Open,Patrick,
Roku,Fulfillment,UnCategorized,No description provided,08-07-25,System,0,UnCategorized,Code issue - Invoice,Not_Assigned,No,,,,No,Mangalagowri,15-07-25,Open,Neha,
Roku,OEM,UnCategorized,No description provided,24-10-25,System,0,UnCategorized,Under Investigation,Not Assigned,No,Roku,,,No,Mangalagowri,25-10-25,Open,Patrick,
Roku,OEM,UnCategorized,No description provided,24-10-26,System,0,UnCategorized,Not Known,Not_Assigned,No,,,,No,Mangalagowri,25-10-25,Closed,Neha,
Roku,OEM,UnCategorized,No description provided,24-10-27,System,0,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,,,,No,Mangalagowri,25-10-25,Closed,Patrick,
Roku,OEM,UnCategorized,No description provided,24-10-28,System,0,UnCategorized,Not Known,Not_Assigned,No,,,,No,Mangalagowri,25-10-25,Open,Patrick,
Roku,OEM,UnCategorized,No description provided,24-10-29,System,0,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,,,,No,Mangalagowri,25-10-25,Open,Patrick,
Frontier,OEM,UnCategorized,No description provided,24-10-30,System,0,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,Frontier,,,No,Mangalagowri,25-10-25,Open,Neha,
Frontier,Clean & Screen,Under Charge,No description provided,22-07-25,System,0,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,Frontier,,,No,Mangalagowri,29-07-25,Closed,Patrick,
Roku,OEM,UnCategorized,No description provided,24-10-25,System,0,UnCategorized,Under Investigation,Not Assigned,No,Roku,,,No,Mangalagowri,25-10-25,Closed,Neha,
Roku,OEM,UnCategorized,No description provided,24-10-25,System,0,UnCategorized,Under Investigation,Not Assigned,No,Roku,,,No,Mangalagowri,25-10-25,Open,Patrick,
Roku,Fulfillment,UnCategorized,No description provided,01-08-25,System,0,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,,,,No,Mangalagowri,08-08-25,Open,Patrick,
Roku,Clean & Screen,UnCategorized,No description provided,01-08-25,System,0,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,,,,No,Mangalagowri,08-08-25,Open,Patrick,
Roku,Fulfillment,UnCategorized,No description provided,01-08-25,System,0,UnCategorized,Not Known,Not_Assigned,No,,,,No,Mangalagowri,08-08-25,Closed,Neha,
Roku,Clean & Screen,UnCategorized,No description provided,01-08-25,System,0,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,,,,No,Mangalagowri,08-08-25,Closed,Patrick,
CableOne,Fulfillment,UnCategorized,No description provided,01-08-25,System,0,UnCategorized,Code issue - Invoice,Not_Assigned,No,CableOne,,,No,Mangalagowri,08-08-25,Open,Neha,
Roku,Fulfillment,UnCategorized,No description provided,03-08-25,System,0,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,,,,No,Mangalagowri,10-08-25,Open,Patrick,
Breezeline,Fulfillment,UnCategorized,No description provided,04-08-25,System,0,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,Breezeline,,,No,Mangalagowri,11-08-25,Open,Patrick,
Frontier,OEM,UnCategorized,No description provided,05-08-25,System,0,UnCategorized,Server Issue,Not_Assigned,No,Frontier,,,No,Mangalagowri,12-08-25,Closed,Patrick,
Breezeline,Fulfillment,UnCategorized,No description provided,06-08-25,System,0,UnCategorized,Code issue - Invoice,Not_Assigned,No,Breezeline,,,No,Mangalagowri,13-08-25,Closed,Neha,
CableOne,Fulfillment,UnCategorized,No description provided,07-08-25,System,0,UnCategorized,PriceBook - New,Not_Assigned,No,CableOne,,,No,Mangalagowri,14-08-25,Open,Patrick,
Roku,OEM,UnCategorized,No description provided,24-10-25,System,0,UnCategorized,Under Investigation,Not Assigned,No,Roku,,,No,Mangalagowri,25-10-25,Open,Neha,
CableOne,Fulfillment,UnCategorized,No description provided,24-10-26,System,0,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,CableOne,,,No,Mangalagowri,25-10-25,Open,Patrick,
Roku,OEM,UnCategorized,No description provided,24-10-27,System,0,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,,,,No,Mangalagowri,25-10-25,Closed,Patrick,
Roku,OEM,UnCategorized,No description provided,24-10-28,System,0,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,,,,No,Mangalagowri,25-10-25,Closed,Patrick,
Breezeline,Fulfillment,UnCategorized,No description provided,14-08-25,System,0,UnCategorized,KPI Issue - Invoice,Not_Assigned,No,Breezeline,,,No,Mangalagowri,21-08-25,Open,Neha,
Mediacom,Fulfillment,UnCategorized,No description provided,18-08-25,System,0,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,Mediacom,,,No,Mangalagowri,25-08-25,Open,Patrick,
Mediacom,Fulfillment,UnCategorized,No description provided,18-08-25,System,0,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,Mediacom,,,No,Mangalagowri,25-08-25,Open,Neha,
Midco,Fulfillment,UnCategorized,No description provided,18-08-25,System,0,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,Midco,,,No,Mangalagowri,25-08-25,Closed,Patrick,
Mediacom,Clean & Screen,UnCategorized,No description provided,19-08-25,System,0,UnCategorized,Not Known,Not_Assigned,No,Mediacom,,,No,Mangalagowri,26-08-25,Closed,Patrick,
Breezeline,Fulfillment,UnCategorized,No description provided,26-08-25,System,0,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,Breezeline,,,No,Mangalagowri,02-09-25,Open,Patrick,
Midco,Fulfillment,UnCategorized,No description provided,28-08-25,System,0,UnCategorized,Not Known,Not_Assigned,No,Midco,,,No,Mangalagowri,04-09-25,Open,Neha,
Breezeline,Fulfillment,UnCategorized,No description provided,04-09-25,System,0,UnCategorized,Data Issue - DeepBlu,Ganesh,No,Breezeline,,,No,Mangalagowri,11-09-25,Open,Patrick,
Tivo,Fulfillment,Under Charge,No description provided,04-09-25,System,0,UnCategorized,Business Rules Issue - Sales,Michael Dudek,No,Tivo,,,No,Mangalagowri,11-09-25,Closed,Neha,
Roku,Clean & Screen,Under Charge,No description provided,05-09-25,System,0,UnCategorized,Operations,Raul,No,Roku,,,No,Mangalagowri,12-09-25,Closed,Patrick,
Tivo,Fulfillment,UnCategorized,No description provided,03-09-25,System,0,UnCategorized,Data Issue - DeepBlu,Mohan,No,Tivo,,,No,Mangalagowri,10-09-25,Open,Patrick,
Breezeline,Fulfillment,UnCategorized,No description provided,29-08-25,System,0,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,Breezeline,,,No,Mangalagowri,05-09-25,Open,Patrick,
Frontier,Clean & Screen,Under Charge,No description provided,02-09-25,System,0,UnCategorized,Business Rules Issue - Sales,Sridhar,Yes,Frontier,,,No,Mangalagowri,09-09-25,Open,Neha,
Mediacom,Clean & Screen,UnCategorized,No description provided,08-09-25,System,0,UnCategorized,Logic Issue - Invoice,Not_Assigned,No,Mediacom,,,No,Mangalagowri,15-09-25,Closed,Patrick,
Frontier,Fulfillment,UnCategorized,No description provided,08-09-25,System,0,UnCategorized,Logic Issue - Invoice,Not_Assigned,No,Frontier,,,No,Mangalagowri,15-09-25,Closed,Neha,
Mediacom,Fulfillment,UnCategorized,No description provided,05-09-25,System,0,UnCategorized,Business Rules Issue - Sales,Not_Assigned,No,Mediacom,,,No,Mangalagowri,12-09-25,Open,Patrick,
Breezeline,Fulfillment,UnCategorized,No description provided,02-09-25,System,0,UnCategorized,Business Rules Issue - Sales,Not_Assigned,No,Breezeline,,,No,Mangalagowri,09-09-25,Open,Patrick,
Frontier,Clean & Screen,Under Charge,No description provided,15-09-25,System,0,UnCategorized,Logic Issue - Invoice,Not_Assigned,No,Frontier,,,No,Mangalagowri,22-09-25,Open,Patrick,
Breezeline,Fulfillment,UnCategorized,No description provided,18-09-25,System,0,UnCategorized,KPI Issue - Invoice,Ganesh,No,Breezeline,,,No,Mangalagowri,25-09-25,Closed,Neha,
Breezeline,Fulfillment,UnCategorized,No description provided,15-09-25,System,0,UnCategorized,Data Issue - DeepBlu,Mohan / Santhosh,No,Breezeline,,,No,Mangalagowri,22-09-25,Closed,Patrick,
Breezeline,Fulfillment,Under Charge,No description provided,17-09-25,System,0,UnCategorized,KPI Issue - Invoice,Santhosh,No,Breezeline,,,No,Mangalagowri,24-09-25,Open,Neha,
Frontier,Clean & Screen,Under Charge,No description provided,19-09-25,System,0,UnCategorized,KPI Issue - Invoice,Ganesh,No,Frontier,,,No,Mangalagowri,26-09-25,Open,Patrick,
Breezeline,Fulfillment,Over Charge,No description provided,19-08-25,System,0,UnCategorized,Data Issue - DeepBlu,Mohan,No,Breezeline,,,No,Mangalagowri,26-08-25,Open,Patrick,
Starry,Fulfillment,UnCategorized,No description provided,23-09-25,System,0,UnCategorized,Code issue - Invoice,Sridhar,No,Starry,,,No,Mangalagowri,30-09-25,Closed,Patrick,
Astound,Fulfillment,UnCategorized,No description provided,17-09-25,System,0,UnCategorized,Under Investigation,Lakshmanan,Yes,,,,Rebill,Mangalagowri,24-09-25,Closed,Neha,
